Id_de_sentencia,IdSentenciado,SentidoSentencia,Sexo,Edad
27701,126688931,Condenatoria,Mujer,49
13651,126691750,Condenatoria,Hombre,38
13261,126714774,Condenatoria,Hombre,42
20102,126723048,Condenatoria,Hombre,28
7882,126836769,Condenatoria,Hombre,32
12423,126867289,Condenatoria,Hombre,47
3720,126868309,Condenatoria,Hombre,35
1585,126941062,Condenatoria,Hombre,50
13365,126952462,Condenatoria,Hombre,46
1519,126953527,Mixta,Hombre,58
11874,126968413,Condenatoria,Hombre,61
3723,127009471,Condenatoria,Hombre,38
14635,127036499,Condenatoria,Hombre,31
26146,127128936,Condenatoria,Hombre,44
17086,127155863,Condenatoria,Hombre,51
3483,127170799,Condenatoria,Hombre,50
16403,127290346,Condenatoria,Hombre,40
16601,127307249,Condenatoria,Hombre,45
13545,127316363,Condenatoria,Hombre,34
12349,127322142,Condenatoria,Mujer,32
7648,127376353,Condenatoria,Hombre,46
7646,127440543,Condenatoria,Hombre,55
17131,127441976,Condenatoria,Hombre,6
13732,127442422,Condenatoria,Hombre,27
11021,127464386,Condenatoria,Hombre,43
13537,127478442,Condenatoria,Hombre,27
20094,127479182,Condenatoria,Hombre,41
13770,127485708,Condenatoria,Hombre,58
15639,127487080,Condenatoria,Hombre,27
7489,127504649,Condenatoria,Hombre,46
11881,127540189,Condenatoria,Hombre,43
7487,127561531,Condenatoria,Hombre,56
1513,127571268,Condenatoria,Hombre,31
14655,127609540,Condenatoria,Hombre,42
11890,127636657,Condenatoria,Hombre,60
12304,127637416,Condenatoria,Hombre,30
12309,127638168,Condenatoria,Hombre,28
7486,127775972,Condenatoria,Hombre,60
2979,127776341,Condenatoria,Mujer,33
28654,127776361,Condenatoria,Hombre,51
13390,127776384,Condenatoria,Hombre,74
16431,127962730,Condenatoria,Hombre,43
7485,127976623,Condenatoria,Hombre,26
13554,127980973,Condenatoria,Hombre,42
13573,128060274,Condenatoria,Mujer,30
12165,128083814,Condenatoria,Hombre,31
7484,128156024,Condenatoria,Hombre,54
16447,128187424,Condenatoria,Hombre,6
14745,128209330,Condenatoria,Hombre,31
17700,128257461,Condenatoria,Hombre,27
7483,128258327,Condenatoria,Hombre,32
24147,128339739,Condenatoria,Hombre,25
12317,128391322,Condenatoria,Hombre,62
11170,128391496,Condenatoria,Hombre,38
4036,128402053,Condenatoria,Hombre,29
12414,128489734,Condenatoria,Hombre,31
16631,128496527,Condenatoria,Hombre,25
13912,128529587,Condenatoria,Hombre,46
13479,128570630,Condenatoria,Mujer,29
1390,128613685,Condenatoria,Hombre,34
13812,128633063,Condenatoria,Hombre,29
13993,128698207,Condenatoria,Hombre,42
27704,128748018,Condenatoria,Hombre,57
18593,128761190,Condenatoria,Hombre,45
14767,128776405,Condenatoria,Hombre,43
3632,128805899,Condenatoria,Hombre,41
2981,128806007,Condenatoria,Hombre,24
24332,128917482,Condenatoria,Hombre,33
13436,128918768,Condenatoria,Hombre,57
24141,129090785,Condenatoria,Hombre,32
14334,129176392,Condenatoria,Hombre,26
14114,129180004,Condenatoria,Hombre,26
14114,129180006,Condenatoria,Hombre,28
16130,129195637,Condenatoria,Hombre,38
20076,129205193,Condenatoria,Hombre,31
13650,129207745,Condenatoria,Hombre,36
3392,129316600,Condenatoria,Hombre,39
14513,129323469,Condenatoria,Hombre,51
13662,129339167,Condenatoria,Hombre,68
24529,129355090,Condenatoria,Hombre,24
24299,129355137,Condenatoria,Hombre,26
24529,129355240,Condenatoria,Hombre,66
24299,129355251,Condenatoria,Hombre,30
4043,129384907,Condenatoria,Hombre,45
11499,129442778,Condenatoria,Hombre,34
13517,129456527,Condenatoria,Hombre,36
653,129644839,Condenatoria,Hombre,28
14363,129650064,Condenatoria,Hombre,26
14000,129650416,Condenatoria,Mujer,31
22196,129650903,Condenatoria,Hombre,32
22196,129650951,Condenatoria,Hombre,28
14025,129678712,Condenatoria,Hombre,30
14025,129678743,Condenatoria,Hombre,33
14664,129746969,Condenatoria,Hombre,40
13671,129762283,Condenatoria,Hombre,30
19431,129774139,Mixta,Hombre,63
19431,129774141,Mixta,Hombre,43
13673,129801926,Condenatoria,Hombre,44
2987,129907539,Condenatoria,Hombre,26
2987,129907546,Condenatoria,Hombre,34
18449,129939703,Condenatoria,Hombre,39
17468,129968651,Condenatoria,Hombre,28
17468,129968658,Condenatoria,Hombre,27
18726,129981746,Condenatoria,Hombre,62
20691,130026556,Condenatoria,Hombre,26
12669,130026614,Condenatoria,Mujer,24
24309,130028994,Condenatoria,Hombre,29
16421,130050569,Condenatoria,Hombre,31
14773,130054715,Condenatoria,Hombre,42
7471,130076049,Condenatoria,Hombre,37
25031,130082838,Condenatoria,Hombre,25
14347,130120006,Condenatoria,Mujer,31
11595,130158833,Condenatoria,Hombre,27
14029,130202839,Condenatoria,Hombre,51
824,130205101,Condenatoria,Hombre,29
3545,130205677,Condenatoria,Hombre,30
14672,130258088,Condenatoria,Hombre,34
19576,130262635,Condenatoria,Hombre,50
20077,130263941,Condenatoria,Mujer,35
8532,130290381,Condenatoria,Hombre,40
14411,130297083,Absolutoria,Hombre,42
13994,130309614,Condenatoria,Hombre,36
28287,130338384,Condenatoria,Hombre,38
8772,130340966,Condenatoria,Hombre,45
8772,130340973,Condenatoria,Hombre,60
1590,130351635,Condenatoria,Hombre,33
16190,130353172,Condenatoria,Hombre,32
14796,130372028,Condenatoria,Hombre,61
3992,130372737,Condenatoria,Mujer,35
12725,130397050,Condenatoria,Hombre,49
18727,130403445,Condenatoria,Hombre,37
24267,130431347,Condenatoria,Hombre,26
24267,130431352,Condenatoria,Hombre,27
15348,130434585,Condenatoria,Hombre,41
25278,130456551,Condenatoria,Hombre,30
24262,130464920,Condenatoria,Hombre,42
16382,130522165,Condenatoria,Hombre,29
12462,130548279,Condenatoria,Hombre,34
24450,130577147,Condenatoria,Hombre,36
24450,130577154,Condenatoria,Hombre,71
4051,130649674,Condenatoria,Hombre,35
18450,130650627,Condenatoria,Hombre,30
17248,130650732,Condenatoria,Hombre,59
4390,130651057,Condenatoria,Hombre,46
10923,130776441,Condenatoria,Hombre,49
8466,130789088,Condenatoria,Hombre,34
20092,130790640,Condenatoria,Hombre,63
14332,130808748,Condenatoria,Hombre,26
12789,130869867,Condenatoria,Hombre,42
16204,130896927,Condenatoria,Mujer,29
17970,130922519,Condenatoria,Hombre,33
17254,130925318,Condenatoria,Hombre,34
2237,130979941,Condenatoria,Hombre,55
8505,131009990,Condenatoria,Hombre,35
8514,131010498,Condenatoria,Hombre,31
16341,131019112,Condenatoria,Hombre,33
13046,131022329,Condenatoria,Hombre,27
14100,131029201,Condenatoria,Hombre,34
2543,131067922,Condenatoria,Hombre,29
11607,131068244,Condenatoria,Hombre,30
14665,131083858,Condenatoria,Hombre,25
226,131125581,Condenatoria,Hombre,25
8520,131127864,Condenatoria,Mujer,34
21898,131155832,Condenatoria,Hombre,32
1302,131156848,Mixta,Hombre,38
14053,131157234,Condenatoria,Hombre,43
14343,131173003,Condenatoria,Hombre,28
16414,131202155,Condenatoria,Hombre,27
12431,131251955,Condenatoria,Hombre,43
14355,131340331,Condenatoria,Mujer,35
14722,131340367,Condenatoria,Hombre,28
14722,131340369,Condenatoria,Hombre,31
24461,131341263,Condenatoria,Hombre,34
467,131454568,Condenatoria,Hombre,51
467,131454604,Condenatoria,Hombre,33
467,131454708,Condenatoria,Mujer,44
16240,131480850,Condenatoria,Hombre,73
6923,147776426,Condenatoria,Hombre,41
23550,147798812,Condenatoria,Hombre,37
21198,147830082,Condenatoria,Hombre,29
5338,147860381,Condenatoria,Hombre,40
14506,147867782,Condenatoria,Hombre,24
18228,147884325,Condenatoria,Hombre,33
18228,147884332,Condenatoria,Hombre,33
6217,147884973,Condenatoria,Hombre,37
14498,147896492,Condenatoria,Hombre,31
23547,147901365,Condenatoria,Hombre,43
4691,147905156,Condenatoria,Hombre,27
7815,147933767,Condenatoria,Hombre,36
3156,147953173,Condenatoria,Hombre,36
6213,147997843,Condenatoria,Hombre,39
13943,148009784,Condenatoria,Hombre,41
6171,148017980,Condenatoria,Hombre,56
23535,148054969,Condenatoria,Hombre,36
2704,148073222,Condenatoria,Hombre,33
18226,148080373,Condenatoria,Hombre,33
23776,148206523,Condenatoria,Hombre,30
19455,148206700,Condenatoria,Hombre,42
19455,148206726,Condenatoria,Hombre,42
16959,148230989,Condenatoria,Hombre,41
18176,148231004,Condenatoria,Hombre,48
7818,148231945,Condenatoria,Mujer,40
6198,148235454,Condenatoria,Hombre,38
6920,148268989,Condenatoria,Hombre,37
4833,148356147,Condenatoria,Hombre,32
16691,148360204,Condenatoria,Hombre,33
17550,148451505,Condenatoria,Hombre,38
19077,148488894,Condenatoria,Hombre,65
9230,148502999,Condenatoria,Hombre,26
9981,148519820,Condenatoria,Hombre,27
1631,148568504,Condenatoria,Hombre,32
17966,148571101,Condenatoria,Hombre,41
12688,148575727,Condenatoria,Hombre,38
17007,148731294,Condenatoria,Hombre,30
5639,148741886,Condenatoria,Hombre,35
6157,148827701,Condenatoria,Hombre,2
1159,148992589,Condenatoria,Hombre,34
1160,148994794,Condenatoria,Hombre,33
16003,149040581,Condenatoria,Hombre,46
14449,149066314,Condenatoria,Hombre,32
17932,149077152,Condenatoria,Mujer,40
5859,149089985,Condenatoria,Hombre,33
30260,149098219,Condenatoria,Hombre,58
19818,149100940,Condenatoria,Hombre,38
16007,149101300,Condenatoria,Hombre,44
16007,149101319,Condenatoria,Hombre,43
5863,149101792,Condenatoria,Hombre,48
23523,149121705,Condenatoria,Hombre,48
17567,149127287,Condenatoria,Hombre,23
4715,149208851,Condenatoria,Hombre,29
4715,149208860,Condenatoria,Hombre,27
18169,149244655,Condenatoria,Hombre,2
12807,149270245,Condenatoria,Hombre,21
6108,149294923,Condenatoria,Hombre,22
19813,149345679,Absolutoria,Hombre,29
17577,149429464,Condenatoria,Hombre,38
17835,149478084,Absolutoria,Hombre,51
1073,149487932,Condenatoria,Hombre,37
3412,149488447,Condenatoria,Hombre,44
6308,149495092,Condenatoria,Hombre,55
17451,149507247,Condenatoria,Hombre,35
2173,149526189,Condenatoria,Hombre,44
18915,149533594,Condenatoria,Hombre,36
17810,149541863,Condenatoria,Hombre,47
13868,149606303,Condenatoria,Hombre,34
93,149621124,Condenatoria,Mujer,38
1082,149622094,Condenatoria,Hombre,28
3087,149645875,Condenatoria,Hombre,34
3213,149671242,Condenatoria,Hombre,45
17551,149692450,Condenatoria,Hombre,22
17485,149768405,Condenatoria,Hombre,27
17485,149768412,Condenatoria,Hombre,29
1650,149772729,Condenatoria,Hombre,53
6159,149781576,Condenatoria,Hombre,29
8729,149831903,Condenatoria,Hombre,30
7321,149936681,Condenatoria,Hombre,48
19910,149938070,Condenatoria,Hombre,34
3826,149941582,Condenatoria,Hombre,24
8585,149944570,Condenatoria,Hombre,30
1028,149953554,Condenatoria,Hombre,45
11830,149974148,Condenatoria,Hombre,28
