IdVictima,GeneroDelito,TipoDelito
24045,Narcóticos,CPF Art. 195 P. 1
27317,Narcóticos,CPF Art. 195 P. 1
4249,Narcóticos,CPF Art. 195 P. 1
8142,Narcóticos,CPF Art. 195 P. 1
8998,Narcóticos,CPF Art. 195 P. 1
1827,Narcóticos,CPF Art. 195 P. 1
14004,Narcóticos,CPF Art. 195 P. 1
8204,Narcóticos,CPF Art. 195 P. 1
4252,Narcóticos,CPF Art. 195 P. 1
15217,Narcóticos,CPF Art. 195 P. 1
27324,Narcóticos,CPF Art. 195 P. 1
8148,Narcóticos,CPF Art. 195 P. 1
6757,Narcóticos,CPF Art. 195 P. 1
17941,Narcóticos,CPF Art. 195 P. 1
12256,Narcóticos,CPF Art. 195 P. 1
3483,Narcóticos,CPF Art. 195 P. 1
6863,Narcóticos,CPF Art. 195 P. 1
3980,Narcóticos,CPF Art. 195 P. 1
7970,Narcóticos,CPF Art. 195 P. 1
909,Narcóticos,CPF Art. 195 P. 1
8151,Narcóticos,CPF Art. 195 P. 1
11783,Narcóticos,CPF Art. 195 P. 1
25435,Narcóticos,CPF Art. 195 P. 1
25437,Narcóticos,CPF Art. 195 P. 1
14983,Narcóticos,CPF Art. 195 P. 1
1002,Narcóticos,CPF Art. 195 P. 1
17357,Narcóticos,CPF Art. 195 P. 1
6864,Narcóticos,CPF Art. 195 P. 1
17412,Narcóticos,CPF Art. 195 P. 1
6194,Narcóticos,CPF Art. 195 P. 1
12166,Narcóticos,CPF Art. 195 P. 1
9018,Narcóticos,CPF Art. 195 P. 1
12213,Narcóticos,CPF Art. 195 P. 1
10076,Narcóticos,CPF Art. 195 P. 1
8942,Narcóticos,CPF Art. 195 P. 1
27489,Narcóticos,CPF Art. 195 P. 1
12181,Narcóticos,CPF Art. 195 P. 1
17258,Narcóticos,CPF Art. 195 P. 1
1597,Narcóticos,CPF Art. 195 P. 1
15021,Narcóticos,CPF Art. 195 P. 1
11904,Narcóticos,CPF Art. 195 P. 1
1888,Narcóticos,CPF Art. 195 P. 1
9167,Narcóticos,CPF Art. 195 P. 1
9173,Narcóticos,CPF Art. 195 P. 1
27520,Narcóticos,CPF Art. 195 P. 1
7143,Narcóticos,CPF Art. 195 P. 1
6057,Narcóticos,CPF Art. 195 P. 1
8768,Narcóticos,CPF Art. 195 P. 1
4298,Narcóticos,CPF Art. 195 P. 1
9184,Narcóticos,CPF Art. 195 P. 1
17942,Narcóticos,CPF Art. 195 P. 1
9383,Narcóticos,CPF Art. 195 P. 1
9387,Narcóticos,CPF Art. 195 P. 1
25450,Narcóticos,CPF Art. 195 P. 1
17442,Narcóticos,CPF Art. 195 P. 1
22697,Narcóticos,CPF Art. 195 P. 1
22695,Narcóticos,CPF Art. 195 P. 1
15628,Narcóticos,CPF Art. 195 P. 1
19922,Narcóticos,CPF Art. 195 P. 1
7650,Narcóticos,CPF Art. 195 P. 1
